tempo, vel, ref
1.496002, -0.092110, -0.121774
1.504002, -0.108553, -0.139077
1.512002, -0.124923, -0.156338
1.520002, -0.143379, -0.173552
1.528002, -0.153278, -0.190712
1.536002, -0.171901, -0.207815
1.544002, -0.188919, -0.224854
1.552002, -0.209532, -0.241825
1.560002, -0.225495, -0.258722
1.568002, -0.244430, -0.275540
1.576002, -0.258931, -0.292275
1.584002, -0.276356, -0.308920
1.592002, -0.294787, -0.325471
1.600002, -0.310463, -0.341923
1.608002, -0.333616, -0.358271
1.616002, -0.346368, -0.374510
1.624002, -0.360293, -0.390635
1.632002, -0.376424, -0.406641
1.640002, -0.397588, -0.422523
1.648002, -0.416811, -0.438276
1.656002, -0.429490, -0.453896
1.664002, -0.445525, -0.469377
1.672002, -0.454321, -0.484716
1.680002, -0.470428, -0.499906
1.688002, -0.487086, -0.514945
1.696002, -0.509305, -0.529827
1.704002, -0.522344, -0.544547
1.712002, -0.539026, -0.559102
1.720002, -0.548853, -0.573486
1.728002, -0.561532, -0.587695
1.736002, -0.579437, -0.601726
1.744002, -0.593051, -0.615573
1.752002, -0.607600, -0.629233
1.760002, -0.622580, -0.642701
1.768002, -0.636026, -0.655973
1.776002, -0.650719, -0.669046
1.784002, -0.655537, -0.681914
1.792002, -0.671979, -0.694575
1.800002, -0.692808, -0.707025
1.808002, -0.701053, -0.719259
1.816002, -0.712629, -0.731274
1.824002, -0.717255, -0.743066
1.832002, -0.736143, -0.754632
1.840002, -0.747264, -0.765968
1.848002, -0.757834, -0.777071
1.856002, -0.773773, -0.787937
1.864002, -0.780724, -0.798563
1.872002, -0.791701, -0.808946
1.880002, -0.804525, -0.819083
1.888002, -0.816413, -0.828970
1.896002, -0.822357, -0.838604
1.904002, -0.830506, -0.847983
1.912002, -0.839974, -0.857104
1.920002, -0.851742, -0.865964
1.928002, -0.860707, -0.874560
1.936002, -0.874896, -0.882889
1.944003, -0.877580, -0.890950
1.952003, -0.885418, -0.898739
1.960003, -0.901405, -0.906254
1.968003, -0.899871, -0.913494
1.976003, -0.906319, -0.920455
1.984003, -0.916984, -0.927136
1.992003, -0.923959, -0.933535
2.000003, -0.932228, -0.939649
2.008003, -0.938388, -0.945477
2.016002, -0.941408, -0.951016
2.024002, -0.954519, -0.956267
2.032002, -0.955765, -0.961226
2.040002, -0.956700, -0.965892
2.048002, -0.965736, -0.970264
2.056002, -0.967989, -0.974340
2.064002, -0.972016, -0.978120
2.072002, -0.981508, -0.981602
2.080002, -0.979686, -0.984784
2.088001, -0.990112, -0.987667
2.096001, -0.988818, -0.990249
2.104001, -0.990160, -0.992530
2.112001, -0.993372, -0.994508
2.120001, -0.993372, -0.996183
2.128001, -0.998981, -0.997554
2.136001, -0.998118, -0.998622
2.144001, -0.999508, -0.999386
2.152001, -1.005716, -0.999845
2.160001, -1.000371, -1.000000
2.168000, -0.999292, -0.999850
2.176000, -1.004158, -0.999396
2.184000, -1.005716, -0.998637
2.192000, -1.003415, -0.997574
2.200000, -0.997111, -0.996207
2.208000, -0.998142, -0.994537
2.216000, -1.002768, -0.992564
2.224000, -0.996608, -0.990288
2.232000, -0.993372, -0.987711
2.240000, -0.992533, -0.984833
2.247999, -0.989657, -0.981655
2.255999, -0.989657, -0.978178
2.263999, -0.978440, -0.974403
2.271999, -0.978200, -0.970331
2.279999, -0.981004, -0.965964
2.287999, -0.970722, -0.961302
2.295999, -0.963987, -0.956348
2.303999, -0.961925, -0.951102
2.311999, -0.957491, -0.945567
2.319999, -0.956700, -0.939744
2.327998, -0.944620, -0.933634
2.335998, -0.935177, -0.927240
2.343998, -0.940953, -0.920564
2.351998, -0.924990, -0.913607
2.359998, -0.916553, -0.906372
2.367998, -0.916984, -0.898861
2.375998, -0.903634, -0.891076
2.383998, -0.900350, -0.883020
2.391998, -0.889589, -0.874694
2.399997, -0.877101, -0.866103
2.407997, -0.875375, -0.857247
2.415997, -0.866315, -0.848130
2.423997, -0.853852, -0.838755
2.431997, -0.844792, -0.829125
2.439997, -0.837217, -0.819242
2.447997, -0.826671, -0.809110
2.455997, -0.817515, -0.798731
2.463997, -0.810421, -0.788108
2.471997, -0.792564, -0.777246
2.479996, -0.780987, -0.766147
2.487996, -0.781683, -0.754815
2.495996, -0.762124, -0.743252
2.503996, -0.751410, -0.731464
2.511996, -0.741080, -0.719452
2.519996, -0.727011, -0.707221
2.527996, -0.717351, -0.694775
2.535996, -0.703474, -0.682118
2.543996, -0.693790, -0.669252
2.551996, -0.677468, -0.656183
2.559995, -0.667928, -0.642914
2.567995, -0.654890, -0.629449
2.575995, -0.646501, -0.615792
2.583995, -0.627302, -0.601948
2.591995, -0.612609, -0.587920
2.599995, -0.595040, -0.573713
2.607995, -0.584758, -0.559332
2.615995, -0.568507, -0.544780
2.623995, -0.556475, -0.530062
2.631994, -0.542334, -0.515183
2.639994, -0.530134, -0.500147
2.647994, -0.514147, -0.484959
2.655994, -0.494109, -0.469622
2.663994, -0.479800, -0.454143
2.671994, -0.467528, -0.438526
2.679994, -0.449120, -0.422775
2.687994, -0.437448, -0.406895
2.695994, -0.426039, -0.390891
2.703994, -0.401663, -0.374768
2.711993, -0.388121, -0.358531
2.719993, -0.370504, -0.342185
2.727993, -0.350658, -0.325734
