     t     ,     r     ,     v     ,     p     ,     m     
   6.17595,    0.43819,    0.42963,    0.08524,    0.25856
   6.18395,    0.44602,    0.43548,    0.08871,    0.28590
   6.19195,    0.45381,    0.44349,    0.09225,    0.30815
   6.19995,    0.46157,    0.44989,    0.09585,    0.21341
   6.20795,    0.46930,    0.45353,    0.09949,    0.13903
   6.21595,    0.47698,    0.46602,    0.10325,    0.17653
   6.22395,    0.48463,    0.47191,    0.10699,    0.21914
   6.23195,    0.49225,    0.47961,    0.11081,    0.28718
   6.23995,    0.49983,    0.48311,    0.11460,    0.08053
   6.24795,    0.50737,    0.49092,    0.11844,   -0.05488
   6.25595,    0.51487,    0.50350,    0.12240,   -0.13436
   6.26395,    0.52233,    0.51652,    0.12647,    0.32924
   6.27195,    0.52975,    0.52314,    0.13070,    0.43262
   6.27995,    0.53713,    0.52675,    0.13492,    0.26639
   6.28795,    0.54447,    0.53018,    0.13914,   -0.03717
   6.29595,    0.55177,    0.53881,    0.14344,   -0.10679
   6.30395,    0.55902,    0.54993,    0.14773,    0.22541
   6.31195,    0.56624,    0.55782,    0.15217,    0.38465
   6.31995,    0.57341,    0.56065,    0.15665,    0.17765
   6.32795,    0.58054,    0.56676,    0.16120,    0.12832
   6.33595,    0.58762,    0.57591,    0.16582,    0.23156
   6.34395,    0.59466,    0.58135,    0.17043,    0.26358
   6.35195,    0.60165,    0.58778,    0.17513,    0.13280
   6.35995,    0.60860,    0.59286,    0.17980,    0.01218
   6.36795,    0.61550,    0.60551,    0.18464,   -0.14914
   6.37595,    0.62235,    0.61745,    0.18954,    0.36094
   6.38395,    0.62916,    0.61755,    0.19456,    0.30639
   6.39195,    0.63592,    0.62565,    0.19958,    0.02294
   6.39995,    0.64263,    0.63209,    0.20457,    0.13111
   6.40795,    0.64929,    0.64015,    0.20963,    0.12739
   6.41595,    0.65590,    0.64619,    0.21477,    0.29148
   6.42395,    0.66247,    0.65096,    0.21993,    0.11478
   6.43195,    0.66898,    0.65400,    0.22520,    0.10082
   6.43995,    0.67544,    0.66668,    0.23047,    0.25977
   6.44795,    0.68185,    0.67203,    0.23584,    0.23559
   6.45595,    0.68820,    0.67641,    0.24122,    0.05882
   6.46395,    0.69451,    0.68030,    0.24663,   -0.01117
   6.47195,    0.70076,    0.69559,    0.25216,    0.34608
   6.47995,    0.70696,    0.69609,    0.25784,    0.25062
   6.48795,    0.71310,    0.69993,    0.26339,   -0.02288
   6.49594,    0.71919,    0.70868,    0.26897,    0.02914
   6.50394,    0.72523,    0.71551,    0.27469,    0.22354
   6.51194,    0.73121,    0.71958,    0.28047,    0.21956
   6.51994,    0.73714,    0.72581,    0.28630,    0.04771
   6.52794,    0.74300,    0.73547,    0.29217,    0.13524
   6.53594,    0.74882,    0.73950,    0.29806,    0.18716
   6.54394,    0.75457,    0.74209,    0.30400,    0.13224
   6.55194,    0.76027,    0.74921,    0.30992,   -0.01426
   6.55994,    0.76591,    0.75922,    0.31522,    0.36821
   6.56794,    0.77149,    0.76284,    0.32172,    0.21659
   6.57594,    0.77701,    0.76673,    0.32779,   -0.00118
   6.58394,    0.78248,    0.77588,    0.33395,    0.05571
   6.59194,    0.78788,    0.77924,    0.34020,    0.23463
   6.59994,    0.79322,    0.78312,    0.34653,    0.17958
   6.60794,    0.79851,    0.78897,    0.35289,    0.11940
   6.61594,    0.80373,    0.79429,    0.35919,    0.22198
   6.62394,    0.80889,    0.79726,    0.36544,   -0.00609
   6.63194,    0.81399,    0.80625,    0.37176,    0.00490
   6.63994,    0.81903,    0.81641,    0.37835,    0.37190
   6.64794,    0.82401,    0.81449,    0.38488,    0.23534
   6.65594,    0.82892,    0.82054,    0.39143,   -0.07419
   6.66394,    0.83377,    0.82936,    0.39802,    0.21138
   6.67194,    0.83855,    0.83135,    0.40471,    0.23242
   6.67994,    0.84328,    0.83679,    0.41138,    0.16190
   6.68794,    0.84793,    0.84244,    0.41808,    0.24394
   6.69594,    0.85253,    0.84498,    0.42470,    0.16828
   6.70394,    0.85706,    0.84611,    0.43142,   -0.20748
   6.71194,    0.86152,    0.86095,    0.43828,    0.29666
   6.71994,    0.86592,    0.86107,    0.44525,    0.28707
   6.72794,    0.87025,    0.86049,    0.45208,    0.10960
   6.73594,    0.87451,    0.87113,    0.45897,    0.10505
   6.74394,    0.87871,    0.87569,    0.46591,    0.24290
   6.75194,    0.88285,    0.87633,    0.47294,    0.16709
   6.75994,    0.88691,    0.88060,    0.48000,    0.28964
   6.76794,    0.89091,    0.88513,    0.48709,    0.14767
   6.77594,    0.89484,    0.88285,    0.49414,   -0.06044
   6.78394,    0.89870,    0.89752,    0.50128,    0.33670
   6.79194,    0.90249,    0.89683,    0.50847,    0.30149
   6.79994,    0.90622,    0.89901,    0.51551,   -0.02368
   6.80794,    0.90987,    0.90632,    0.52280,    0.21064
   6.81594,    0.91346,    0.90872,    0.53013,    0.19061
   6.82394,    0.91697,    0.91255,    0.53745,    0.07392
   6.83194,    0.92042,    0.91253,    0.54473,    0.29292
   6.83994,    0.92380,    0.91612,    0.55202,   -0.02727
   6.84794,    0.92710,    0.92367,    0.55936,    0.02384
   6.85594,    0.93034,    0.92986,    0.56678,    0.41570
   6.86394,    0.93350,    0.92499,    0.57420,   -0.08258
   6.87194,    0.93659,    0.93477,    0.58161,    0.06509
   6.87994,    0.93962,    0.93597,    0.58910,    0.27380
   6.88794,    0.94257,    0.93719,    0.59667,    0.12641
   6.89594,    0.94545,    0.94141,    0.60427,    0.23333
   6.90394,    0.94825,    0.94309,    0.61170,    0.11134
   6.91194,    0.95099,    0.94385,    0.61920,   -0.17852
   6.91994,    0.95365,    0.95155,    0.62676,    0.39628
   6.92794,    0.95624,    0.94769,    0.63443,    0.05550
   6.93594,    0.95876,    0.95670,    0.64202,   -0.23441
   6.94394,    0.96120,    0.96145,    0.64966,    0.30980
   6.95194,    0.96357,    0.96097,    0.65740,    0.23346
   6.95994,    0.96587,    0.96097,    0.66512,    0.21813
   6.96794,    0.96809,    0.96574,    0.67284,    0.14683
   6.97594,    0.97024,    0.96272,    0.68051,    0.04499
   6.98394,    0.97232,    0.97738,    0.68829,    0.32970
   6.99194,    0.97432,    0.96847,    0.69606,    0.05488
   6.99994,    0.97625,    0.97461,    0.70373,   -0.08772
   7.00794,    0.97810,    0.97738,    0.71155,    0.35969
   7.01594,    0.97988,    0.97738,    0.71940,    0.14075
   7.02394,    0.98158,    0.97969,    0.72728,    0.28801
   7.03194,    0.98321,    0.98100,    0.73507,    0.19111
   7.03994,    0.98477,    0.97957,    0.74294,    0.00772
   7.04794,    0.98625,    0.98700,    0.75086,    0.41431
   7.05594,    0.98765,    0.98283,    0.75870,    0.16476
   7.06394,    0.98898,    0.98832,    0.76649,    0.04234
   7.07194,    0.99024,    0.99126,    0.77442,    0.32680
   7.07994,    0.99142,    0.98832,    0.78241,    0.26029
   7.08794,    0.99252,    0.99203,    0.79041,    0.28530
   7.09594,    0.99355,    0.99100,    0.79829,    0.18823
   7.10394,    0.99450,    0.99126,    0.80616,    0.03009
   7.11194,    0.99537,    0.99812,    0.81415,    0.46196
   7.11994,    0.99617,    0.99287,    0.82219,    0.20713
   7.12794,    0.99690,    0.99761,    0.83005,    0.02352
   7.13594,    0.99755,    0.99814,    0.83805,    0.37393
   7.14394,    0.99812,    0.99766,    0.84611,    0.30216
   7.15194,    0.99862,    0.99438,    0.85409,    0.34736
   7.15994,    0.99904,    0.99287,    0.86201,    0.16872
   7.16794,    0.99938,    1.00015,    0.86999,    0.12741
   7.17594,    0.99965,    1.00140,    0.87802,    0.43195
   7.18394,    0.99984,    0.99438,    0.88598,    0.05996
   7.19194,    0.99996,    1.00385,    0.89393,    0.09997
   7.19994,    1.00000,    1.00253,    0.90196,    0.26202
   7.20794,    0.99996,    1.00140,    0.90998,    0.11378
   7.21594,    0.99985,    0.99898,    0.91800,    0.36228
   7.22394,    0.99966,    0.99951,    0.92595,    0.06139
   7.23194,    0.99940,    1.00087,    0.93396,    0.21829
   7.23994,    0.99906,    0.99951,    0.94210,    0.37516
   7.24794,    0.99864,    0.99253,    0.94998,   -0.11907
   7.25594,    0.99815,    1.01923,    0.95804,    0.36839
   7.26394,    0.99758,    1.00548,    0.96619,    0.30138
   7.27193,    0.99694,    1.00416,    0.97423,    0.14790
   7.27993,    0.99622,    1.00224,    0.98216,    0.14189
   7.28793,    0.99542,    0.99694,    0.99015,   -0.08793
   7.29593,    0.99455,    1.00416,    0.99819,    0.20105
   7.30393,    0.99360,    0.99812,    1.00624,    0.12885
   7.31193,    0.99257,    0.99474,    1.01419,   -0.20784
   7.31993,    0.99148,    0.99661,    1.02216,    0.13702
   7.32793,    0.99030,    0.99253,    1.03013,    0.09529
   7.33593,    0.98905,    0.99387,    1.03819,    0.17054
   7.34393,    0.98773,    0.98549,    1.04611,   -0.13573
   7.35193,    0.98632,    0.98515,    1.05390,   -0.18768
   7.35993,    0.98485,    0.98966,    1.06180,    0.03501
   7.36793,    0.98330,    0.98649,    1.06971,   -0.12381
   7.37593,    0.98167,    0.98414,    1.07756,   -0.24703
   7.38393,    0.97997,    0.98781,    1.08548,   -0.01422
   7.39193,    0.97820,    0.97969,    1.09333,   -0.09171
   7.39993,    0.97635,    0.98340,    1.10115,   -0.02171
   7.40793,    0.97442,    0.97760,    1.10899,   -0.22639
   7.41593,    0.97243,    0.97461,    1.11680,   -0.42093
   7.42393,    0.97035,    0.97640,    1.12464,    0.10680
   7.43193,    0.96821,    0.97103,    1.13245,   -0.12846
   7.43993,    0.96599,    0.96799,    1.14014,   -0.47055
   7.44793,    0.96369,    0.97379,    1.14786,   -0.02936
   7.45593,    0.96133,    0.96542,    1.15563,   -0.37658
   7.46393,    0.95889,    0.96847,    1.16339,   -0.05240
   7.47193,    0.95638,    0.96097,    1.17109,   -0.24706
   7.47993,    0.95379,    0.95576,    1.17870,   -0.48243
   7.48793,    0.95113,    0.95970,    1.18646,    0.08585
   7.49593,    0.94840,    0.95186,    1.19405,   -0.15466
   7.50393,    0.94560,    0.94985,    1.20158,   -0.51724
   7.51193,    0.94272,    0.95452,    1.20923,   -0.03548
   7.51993,    0.93978,    0.94476,    1.21688,   -0.30147
   7.52793,    0.93676,    0.94553,    1.22443,   -0.14020
   7.53593,    0.93367,    0.93673,    1.23194,   -0.23836
   7.54393,    0.93051,    0.93477,    1.23935,   -0.41284
   7.55193,    0.92727,    0.93808,    1.24689,   -0.07359
   7.55993,    0.92397,    0.92897,    1.25438,   -0.13620
   7.56793,    0.92060,    0.92135,    1.26179,   -0.56505
   7.57593,    0.91716,    0.92573,    1.26912,   -0.22585
   7.58393,    0.91364,    0.92017,    1.27650,   -0.11558
   7.59193,    0.91006,    0.91974,    1.28383,   -0.31048
   7.59993,    0.90641,    0.91200,    1.29122,   -0.19007
   7.60793,    0.90269,    0.90912,    1.29846,   -0.42062
   7.61593,    0.89890,    0.90723,    1.30578,   -0.26462
   7.62393,    0.89504,    0.90538,    1.31298,   -0.00184
   7.63193,    0.89112,    0.89668,    1.32014,   -0.33925
   7.63993,    0.88712,    0.89558,    1.32727,   -0.51392
   7.64793,    0.88306,    0.89532,    1.33445,   -0.18504
   7.65593,    0.87893,    0.88633,    1.34161,   -0.27328
   7.66393,    0.87474,    0.88412,    1.34863,   -0.19367
   7.67193,    0.87048,    0.87713,    1.35569,   -0.22599
   7.67993,    0.86615,    0.86943,    1.36268,   -0.32443
   7.68793,    0.86175,    0.87346,    1.36964,   -0.14823
   7.69593,    0.85729,    0.86608,    1.37660,   -0.04834
   7.70393,    0.85277,    0.85766,    1.38340,   -0.40115
   7.71193,    0.84818,    0.86044,    1.39019,   -0.41319
   7.71993,    0.84352,    0.85627,    1.39709,   -0.07936
   7.72793,    0.83881,    0.84597,    1.40404,   -0.19825
   7.73593,    0.83402,    0.84597,    1.41084,   -0.09843
   7.74393,    0.82918,    0.83494,    1.41751,   -0.17663
   7.75193,    0.82427,    0.82912,    1.42417,   -0.45325
   7.75993,    0.81930,    0.83178,    1.43080,   -0.26192
   7.76793,    0.81426,    0.82514,    1.43743,    0.02606
   7.77593,    0.80916,    0.81385,    1.44392,   -0.30654
   7.78393,    0.80401,    0.81109,    1.45038,   -0.58320
   7.79193,    0.79879,    0.81169,    1.45688,   -0.17319
   7.79993,    0.79351,    0.80040,    1.46336,   -0.17522
   7.80793,    0.78817,    0.79793,    1.46985,   -0.22301
   7.81593,    0.78276,    0.79038,    1.47622,   -0.06229
   7.82393,    0.77730,    0.78451,    1.48242,   -0.28815
   7.83193,    0.77178,    0.77722,    1.48862,   -0.36651
   7.83993,    0.76621,    0.78029,    1.49413,   -0.12443
   7.84793,    0.76057,    0.77315,    1.50077,    0.06167
   7.85593,    0.75488,    0.76153,    1.50691,   -0.22018
   7.86393,    0.74912,    0.75783,    1.51295,   -0.42575
   7.87193,    0.74331,    0.75503,    1.51900,   -0.13794
   7.87993,    0.73745,    0.74700,    1.52508,   -0.06887
   7.88793,    0.73153,    0.73950,    1.53113,   -0.18800
   7.89593,    0.72555,    0.73459,    1.53707,    0.03873
   7.90393,    0.71952,    0.72581,    1.54282,   -0.12620
   7.91193,    0.71343,    0.71704,    1.54856,   -0.41830
   7.91993,    0.70729,    0.71989,    1.55428,   -0.15600
   7.92793,    0.70109,    0.71340,    1.56005,    0.16224
   7.93593,    0.69484,    0.70467,    1.56570,    0.01253
   7.94393,    0.68854,    0.69652,    1.57127,   -0.16770
   7.95193,    0.68219,    0.69449,    1.57685,   -0.15468
   7.95993,    0.67578,    0.69094,    1.58240,    0.08722
   7.96793,    0.66932,    0.68058,    1.58792,   -0.11847
   7.97593,    0.66281,    0.66977,    1.59336,   -0.02408
   7.98393,    0.65625,    0.66920,    1.59871,    0.08046
   7.99193,    0.64964,    0.66043,    1.60395,   -0.01337
   7.99993,    0.64298,    0.65122,    1.60920,   -0.22928
   8.00793,    0.63628,    0.64360,    1.61435,   -0.21630
   8.01593,    0.62952,    0.64499,    1.61958,    0.15270
   8.02393,    0.62272,    0.63550,    1.62481,    0.21144
   8.03193,    0.61587,    0.62452,    1.62979,   -0.03504
   8.03993,    0.60897,    0.61472,    1.63465,   -0.35271
   8.04793,    0.60202,    0.61259,    1.63955,   -0.15667
   8.05593,    0.59503,    0.60997,    1.64436,    0.03935
   8.06393,    0.58800,    0.60038,    1.64924,   -0.04438
   8.07193,    0.58091,    0.59161,    1.65407,   -0.00094
   8.07993,    0.57379,    0.58910,    1.65882,    0.14928
   8.08793,    0.56662,    0.57618,    1.66345,   -0.09215
   8.09593,    0.55941,    0.57035,    1.66809,   -0.13521
   8.10393,    0.55215,    0.56041,    1.67264,   -0.11216
   8.11193,    0.54486,    0.55343,    1.67712,   -0.37904
   8.11993,    0.53752,    0.55080,    1.68151,    0.02549
   8.12793,    0.53014,    0.54770,    1.68589,    0.15532
   8.13593,    0.52272,    0.53716,    1.69013,    0.03085
   8.14393,    0.51526,    0.52541,    1.69428,   -0.19535
   8.15193,    0.50776,    0.51956,    1.69850,   -0.40632
   8.15993,    0.50023,    0.51525,    1.70271,   -0.09338
   8.16793,    0.49265,    0.50978,    1.70675,    0.07205
   8.17593,    0.48504,    0.49948,    1.71086,    0.08488
   8.18393,    0.47739,    0.48864,    1.71486,    0.05263
   8.19193,    0.46970,    0.48011,    1.71874,   -0.19926
   8.19993,    0.46198,    0.47479,    1.72257,   -0.07474
   8.20794,    0.45423,    0.46508,    1.72634,   -0.04177
   8.21594,    0.44643,    0.45758,    1.73001,   -0.11560
   8.22394,    0.43861,    0.45219,    1.73359,   -0.24028
   8.23194,    0.43075,    0.44164,    1.73712,   -0.34460
   8.23994,    0.42286,    0.43764,    1.74056,   -0.18951
   8.24794,    0.41493,    0.43565,    1.74410,    0.16399
   8.25594,    0.40698,    0.42570,    1.74754,    0.16651
   8.26394,    0.39899,    0.41228,    1.75092,    0.09277
   8.27194,    0.39098,    0.40698,    1.75419,   -0.03691
   8.27994,    0.38293,    0.39296,    1.75731,   -0.35478
   8.28794,    0.37485,    0.38829,    1.76046,   -0.42847
   8.29594,    0.36675,    0.38158,    1.76353,   -0.12577
   8.30394,    0.35862,    0.37304,    1.76657,   -0.00615
   8.31194,    0.35046,    0.36741,    1.76952,    0.23048
   8.31994,    0.34227,    0.35651,    1.77242,    0.15176
   8.32794,    0.33406,    0.34742,    1.77528,    0.20530
   8.33594,    0.32582,    0.33920,    1.77803,   -0.21417
   8.34394,    0.31756,    0.33096,    1.78069,   -0.19619
   8.35194,    0.30927,    0.32221,    1.78336,    0.04561
   8.35994,    0.30096,    0.31686,    1.78584,    0.11450
   8.36794,    0.29263,    0.30548,    1.78828,   -0.05567
   8.37594,    0.28427,    0.29903,    1.79071,    0.05903
   8.38394,    0.27590,    0.28666,    1.79302,    0.07711
   8.39194,    0.26750,    0.28242,    1.79527,   -0.36257
   8.39994,    0.25908,    0.27497,    1.79751,   -0.23763
   8.40794,    0.25064,    0.26219,    1.79968,    0.02974
   8.41595,    0.24218,    0.25855,    1.80174,   -0.24710
   8.42395,    0.23371,    0.25085,    1.80378,    0.34583
   8.43195,    0.22522,    0.24779,    1.80580,    0.20129
   8.43995,    0.21670,    0.23446,    1.80772,    0.35685
   8.44795,    0.20818,    0.22451,    1.80952,    0.29372
   8.45595,    0.19963,    0.21548,    1.81133,    0.31708
   8.46395,    0.19108,    0.20524,    1.81296,    0.19805
   8.47195,    0.18250,    0.19506,    1.81456,    0.09430
   8.47995,    0.17392,    0.18952,    1.81607,   -0.10607
   8.48795,    0.16532,    0.18015,    1.81755,    0.16154
   8.49595,    0.15670,    0.17317,    1.81889,   -0.32871
   8.50395,    0.14808,    0.16152,    1.82019,   -0.01019
   8.51195,    0.13944,    0.15771,    1.82146,   -0.31726
   8.51995,    0.13080,    0.14702,    1.82265,   -0.23777
   8.52795,    0.12214,    0.14026,    1.82380,    0.12662
   8.53595,    0.11348,    0.12713,    1.82483,    0.00780
   8.54395,    0.10480,    0.12171,    1.82584,   -0.01433
   8.55195,    0.09612,    0.11402,    1.82674,    0.22805
   8.55995,    0.08743,    0.10369,    1.82760,    0.29241
   8.56795,    0.07873,    0.09578,    1.82839,    0.20932
   8.57595,    0.07003,    0.08518,    1.82913,    0.12626
   8.58395,    0.06132,    0.07509,    1.82974,    0.16018
   8.59195,    0.05261,    0.06795,    1.83033,    0.30098
   8.59995,    0.04390,    0.05788,    1.83079,    0.48248
   8.60795,    0.03518,    0.04460,    1.83123,    0.40459
   8.61595,    0.02645,    0.03900,    1.83160,    0.38779
   8.62395,    0.01773,    0.03013,    1.83185,    0.30997
   8.63196,    0.00900,    0.01862,    1.83205,    0.34916
   8.63996,    0.00028,    0.01654,    1.83221,    0.26121
   8.64796,   -0.00845,    0.01438,    1.83223,    0.44454
   8.65596,   -0.01717,    0.00518,    1.83224,   -0.35015
   8.66396,   -0.02590,   -0.02605,    1.83216,   -0.63508
   8.67196,   -0.03462,   -0.03952,    1.83193,   -0.78256
   8.67996,   -0.04334,   -0.04434,    1.83156,   -0.82324
   8.68796,   -0.05206,   -0.04705,    1.83118,   -0.73677
   8.69596,   -0.06077,   -0.04724,    1.83084,   -0.56390
   8.70396,   -0.06948,   -0.05477,    1.83041,   -0.70134
   8.71196,   -0.07818,   -0.06213,    1.82992,   -0.70659
   8.71996,   -0.08688,   -0.06776,    1.82943,   -0.82378
   8.72796,   -0.09557,   -0.07588,    1.82887,   -0.72230
   8.73596,   -0.10425,   -0.08180,    1.82822,   -0.63105
   8.74396,   -0.11292,   -0.09302,    1.82750,   -0.41776
   8.75196,   -0.12159,   -0.10321,    1.82668,   -0.41307
   8.75996,   -0.13025,   -0.11112,    1.82583,   -0.64749
   8.76796,   -0.13889,   -0.12063,    1.82488,   -0.62763
   8.77596,   -0.14753,   -0.13051,    1.82387,   -0.50609
   8.78396,   -0.15616,   -0.14110,    1.82277,   -0.76099
   8.79196,   -0.16477,   -0.14338,    1.82162,   -0.83284
   8.79996,   -0.17337,   -0.15821,    1.82045,   -0.49780
   8.80796,   -0.18196,   -0.16591,    1.81915,   -0.78336
   8.81596,   -0.19053,   -0.17116,    1.81780,   -0.62645
   8.82396,   -0.19909,   -0.18388,    1.81644,   -0.40344
   8.83196,   -0.20763,   -0.19105,    1.81485,   -0.66371
   8.83996,   -0.21616,   -0.20383,    1.81335,   -0.20683
   8.84797,   -0.22467,   -0.21164,    1.81164,   -0.51296
   8.85597,   -0.23317,   -0.21941,    1.80994,   -0.17824
   8.86397,   -0.24165,   -0.22643,    1.80813,   -0.51497
   8.87197,   -0.25010,   -0.23707,    1.80628,   -0.01249
   8.87997,   -0.25854,   -0.24709,    1.80430,   -0.44595
   8.88797,   -0.26696,   -0.25687,    1.80230,   -0.49288
   8.89597,   -0.27536,   -0.26349,    1.80043,   -0.65176
   8.90397,   -0.28374,   -0.27358,    1.79816,   -0.71911
   8.91197,   -0.29210,   -0.27592,    1.79598,   -0.41013
   8.91997,   -0.30043,   -0.28503,    1.79367,   -0.71154
   8.92797,   -0.30874,   -0.29601,    1.79138,   -0.68747
   8.93597,   -0.31703,   -0.30145,    1.78900,   -0.23618
   8.94397,   -0.32530,   -0.30591,    1.78658,   -0.52245
   8.95197,   -0.33354,   -0.31916,    1.78410,   -0.48834
   8.95997,   -0.34175,   -0.33189,    1.78150,   -0.48984
   8.96797,   -0.34994,   -0.33997,    1.77882,   -0.47613
   8.97597,   -0.35810,   -0.34349,    1.77606,   -0.52350
   8.98397,   -0.36623,   -0.35258,    1.77324,   -0.61668
   8.99197,   -0.37434,   -0.35830,    1.77032,   -0.60816
   8.99997,   -0.38242,   -0.36839,    1.76739,   -0.38097
   9.00797,   -0.39046,   -0.37074,    1.76443,   -0.19958
   9.01597,   -0.39848,   -0.38359,    1.76138,   -0.31833
   9.02397,   -0.40647,   -0.38735,    1.75829,   -0.47781
   9.03197,   -0.41443,   -0.39737,    1.75515,   -0.47964
   9.03997,   -0.42235,   -0.40768,    1.75194,   -0.36450
   9.04797,   -0.43025,   -0.41698,    1.74865,   -0.27483
   9.05597,   -0.43811,   -0.42467,    1.74520,   -0.29202
   9.06398,   -0.44594,   -0.43565,    1.74175,   -0.28380
   9.07198,   -0.45373,   -0.44203,    1.73823,   -0.61130
   9.07998,   -0.46149,   -0.44716,    1.73470,   -0.56753
   9.08798,   -0.46921,   -0.45298,    1.73112,   -0.43732
   9.09598,   -0.47690,   -0.46084,    1.72746,   -0.24610
   9.10398,   -0.48455,   -0.47108,    1.72376,   -0.14137
   9.11198,   -0.49217,   -0.48112,    1.72003,   -0.17400
   9.11998,   -0.49975,   -0.49253,    1.71612,   -0.31347
   9.12798,   -0.50729,   -0.49504,    1.71208,   -0.30037
   9.13598,   -0.51479,   -0.50207,    1.70803,   -0.34324
   9.14398,   -0.52225,   -0.51029,    1.70393,   -0.38425
   9.15198,   -0.52967,   -0.51803,    1.69978,   -0.30968
   9.15998,   -0.53705,   -0.52484,    1.69564,   -0.54535
   9.16798,   -0.54439,   -0.53124,    1.69145,   -0.32833
   9.17598,   -0.55169,   -0.54241,    1.68724,   -0.46734
   9.18398,   -0.55895,   -0.54761,    1.68289,   -0.32656
   9.19198,   -0.56616,   -0.55959,    1.67852,   -0.32312
   9.19998,   -0.57333,   -0.56554,    1.67403,   -0.49767
   9.20798,   -0.58046,   -0.56738,    1.66945,   -0.48402
   9.21598,   -0.58755,   -0.57524,    1.66486,   -0.27198
   9.22398,   -0.59458,   -0.58006,    1.66021,   -0.25319
   9.23198,   -0.60158,   -0.59034,    1.65547,   -0.49890
   9.23998,   -0.60853,   -0.59504,    1.65065,   -0.34275
   9.24798,   -0.61543,   -0.60094,    1.64586,   -0.34425
   9.25598,   -0.62228,   -0.60551,    1.64104,   -0.14230
   9.26398,   -0.62909,   -0.62011,    1.63624,   -0.34723
   9.27199,   -0.63585,   -0.62589,    1.63129,   -0.50127
   9.27999,   -0.64256,   -0.63097,    1.62632,   -0.11106
   9.28799,   -0.64922,   -0.64096,    1.62116,   -0.11249
   9.29599,   -0.65583,   -0.64952,    1.61597,   -0.20035
   9.30399,   -0.66240,   -0.65578,    1.61072,   -0.41028
   9.31199,   -0.66891,   -0.65578,    1.60553,   -0.13698
   9.31999,   -0.67537,   -0.66292,    1.60026,   -0.21970
   9.32799,   -0.68178,   -0.67301,    1.59496,   -0.05318
   9.33599,   -0.68814,   -0.67879,    1.58957,   -0.29356
   9.34399,   -0.69444,   -0.68499,    1.58406,   -0.11172
   9.35199,   -0.70069,   -0.68475,    1.57854,   -0.17912
   9.35999,   -0.70689,   -0.69928,    1.57296,   -0.24141
   9.36799,   -0.71304,   -0.69858,    1.56743,   -0.16633
   9.37599,   -0.71913,   -0.70899,    1.56185,    0.17833
   9.38399,   -0.72517,   -0.71586,    1.55613,    0.00420
   9.39199,   -0.73115,   -0.72409,    1.55029,   -0.22585
   9.39999,   -0.73707,   -0.72344,    1.54452,   -0.23209
   9.40799,   -0.74294,   -0.73305,    1.53878,    0.02110
   9.41599,   -0.74875,   -0.74108,    1.53292,    0.01490
   9.42399,   -0.75451,   -0.74700,    1.52686,   -0.10316
   9.43199,   -0.76021,   -0.75088,    1.52078,    0.01275
   9.43999,   -0.76585,   -0.75117,    1.51473,    0.09309
   9.44799,   -0.77143,   -0.76380,    1.50869,   -0.14191
   9.45599,   -0.77695,   -0.76440,    1.50263,   -0.03611
   9.46399,   -0.78242,   -0.77435,    1.49641,    0.24266
   9.47199,   -0.78782,   -0.78590,    1.49016,   -0.08383
   9.47999,   -0.79317,   -0.78238,    1.48388,   -0.12038
   9.48800,   -0.79845,   -0.78974,    1.47763,    0.06689
   9.49600,   -0.80368,   -0.79503,    1.47134,    0.13212
   9.50400,   -0.80884,   -0.80306,    1.46493,   -0.06714
   9.51200,   -0.81394,   -0.80517,    1.45842,    0.20157
   9.52000,   -0.81898,   -0.80666,    1.45192,    0.16005
   9.52800,   -0.82395,   -0.81903,    1.44543,   -0.18664
   9.53600,   -0.82887,   -0.83135,    1.43889,    0.04653
   9.54400,   -0.83372,   -0.82667,    1.43224,    0.38655
   9.55200,   -0.83850,   -0.84158,    1.42556,   -0.20423
   9.56000,   -0.84323,   -0.83564,    1.41882,    0.02902
   9.56800,   -0.84788,   -0.83880,    1.41213,    0.15546
   9.57600,   -0.85248,   -0.85141,    1.40538,    0.03270
   9.58400,   -0.85701,   -0.85220,    1.39844,   -0.01882
   9.59200,   -0.86147,   -0.84803,    1.39155,    0.07208
   9.60000,   -0.86587,   -0.85766,    1.38474,    0.01551
   9.60800,   -0.87020,   -0.86049,    1.37791,    0.11664
   9.61600,   -0.87447,   -0.86770,    1.37105,    0.35003
   9.62400,   -0.87867,   -0.87780,    1.36404,    0.02902
   9.63200,   -0.88280,   -0.87411,    1.35706,    0.10479
   9.64000,   -0.88687,   -0.87859,    1.34997,    0.26195
   9.64800,   -0.89087,   -0.88554,    1.34298,    0.08852
   9.65600,   -0.89480,   -0.89040,    1.33581,    0.09823
   9.66400,   -0.89866,   -0.88741,    1.32865,    0.11812
   9.67200,   -0.90245,   -0.89793,    1.32152,    0.04649
   9.68000,   -0.90618,   -0.89793,    1.31441,    0.39196
   9.68800,   -0.90983,   -0.90320,    1.30717,    0.41701
   9.69600,   -0.91342,   -0.91454,    1.29991,   -0.00044
   9.70401,   -0.91694,   -0.90872,    1.29261,    0.12638
   9.71201,   -0.92038,   -0.91655,    1.28535,    0.37531
   9.72001,   -0.92376,   -0.92099,    1.27795,    0.26311
   9.72801,   -0.92707,   -0.92367,    1.27058,    0.42561
   9.73601,   -0.93030,   -0.92499,    1.26326,    0.31855
   9.74401,   -0.93347,   -0.92986,    1.25586,    0.19624
   9.75201,   -0.93656,   -0.93266,    1.24838,    0.35372
