t, r, v, p, to
0.768000, 0.994527, 0.995697, 0.488060, -0.427172
0.776000, 0.992552, 0.996368, 0.495999, -0.486521
0.784000, 0.990275, 0.998885, 0.503997, -0.220397
0.792000, 0.987696, 0.991622, 0.511876, -0.625779
0.800000, 0.984817, 0.997734, 0.519826, -0.354727
0.808000, 0.981637, 0.990280, 0.527813, -0.261777
0.816000, 0.978159, 0.984935, 0.535763, -0.519859
0.824000, 0.974382, 0.983833, 0.543642, -0.264270
0.832000, 0.970309, 0.977001, 0.551448, -0.263090
0.840000, 0.965940, 0.976570, 0.559230, -0.511191
0.848000, 0.961277, 0.975276, 0.567013, -0.281256
0.856000, 0.956321, 0.964945, 0.574711, -0.509146
0.864000, 0.951074, 0.964298, 0.582421, -0.360707
0.872000, 0.945537, 0.958809, 0.590119, -0.319150
0.880000, 0.939712, 0.950157, 0.597841, -0.476018
0.888000, 0.933601, 0.943709, 0.605407, -0.236210
0.896000, 0.927205, 0.937430, 0.612889, -0.352497
0.904000, 0.920528, 0.931845, 0.620383, -0.540078
0.912000, 0.913569, 0.932396, 0.627829, -0.168177
0.920000, 0.906333, 0.916984, 0.635215, -0.396546
0.928000, 0.898820, 0.916984, 0.642540, -0.431675
0.936000, 0.891034, 0.907853, 0.649842, -0.243063
0.944000, 0.882976, 0.894838, 0.657060, -0.430878
0.952000, 0.874649, 0.893184, 0.664206, -0.257629
0.960001, 0.866056, 0.880984, 0.671304, -0.252251
0.968001, 0.857199, 0.866099, 0.678341, -0.409709
0.976001, 0.848081, 0.865932, 0.685284, -0.409518
0.984001, 0.838705, 0.859628, 0.692117, -0.226263
0.992001, 0.829073, 0.843953, 0.698963, -0.617812
1.000001, 0.819189, 0.842706, 0.705689, -0.404114
1.008001, 0.809055, 0.828062, 0.712403, -0.210808
1.016001, 0.798675, 0.814088, 0.718925, -0.343069
1.024001, 0.788051, 0.810349, 0.725423, -0.449911
1.032001, 0.777188, 0.798413, 0.731861, -0.210942
1.040001, 0.766087, 0.782809, 0.738190, -0.343285
1.048001, 0.754754, 0.771520, 0.744520, -0.531630
1.056001, 0.743190, 0.766750, 0.750634, -0.135049
1.064001, 0.731400, 0.752321, 0.756700, -0.359051
1.072001, 0.719388, 0.737485, 0.762562, -0.471162
1.080001, 0.707156, 0.734896, 0.768448, -0.364596
1.088001, 0.694709, 0.718262, 0.774275, -0.202097
1.096001, 0.682050, 0.703665, 0.780017, -0.293935
1.104001, 0.669183, 0.693551, 0.785603, -0.584160
1.112001, 0.656113, 0.679577, 0.791130, -0.136880
1.120001, 0.642843, 0.667137, 0.796512, -0.310146
1.128001, 0.629377, 0.647220, 0.801762, -0.335929
1.136001, 0.615719, 0.640317, 0.806857, -0.432943
1.144001, 0.601874, 0.627853, 0.811952, -0.107776
1.152001, 0.587845, 0.614359, 0.816926, -0.225137
1.160001, 0.573638, 0.594489, 0.821793, -0.434083
1.168001, 0.559255, 0.585836, 0.826516, -0.653178
1.176001, 0.544702, 0.573445, 0.831143, -0.221239
1.184001, 0.529984, 0.556451, 0.835662, -0.069038
1.192001, 0.515104, 0.537852, 0.840085, -0.191518
1.200001, 0.500067, 0.523279, 0.844401, -0.217349
1.208001, 0.484878, 0.512109, 0.848476, -0.375418
1.216001, 0.469541, 0.499430, 0.852504, -0.055366
1.224001, 0.454061, 0.483036, 0.856423, -0.082020
1.232001, 0.438442, 0.461919, 0.860176, -0.228785
1.240001, 0.422691, 0.445453, 0.863831, -0.146574
1.248001, 0.406810, 0.429490, 0.867391, -0.410147
1.256001, 0.390806, 0.420406, 0.870795, -0.053094
1.264001, 0.374682, 0.403029, 0.874055, 0.019226
1.272001, 0.358444, 0.389990, 0.877220, 0.066193
1.280001, 0.342098, 0.370743, 0.880240, -0.074915
1.288001, 0.325647, 0.354781, 0.883141, -0.144730
1.296001, 0.309096, 0.340543, 0.885910, -0.565393
1.304001, 0.292452, 0.322495, 0.888547, -0.416268
1.312001, 0.275719, 0.304686, 0.891040, -0.017799
1.320001, 0.258901, 0.292678, 0.893437, 0.009463
1.328001, 0.242005, 0.270843, 0.895715, -0.080127
1.336001, 0.225035, 0.253466, 0.897848, 0.211869
1.344001, 0.207996, 0.238749, 0.899790, -0.086050
1.352001, 0.190894, 0.216003, 0.901636, 0.012910
1.360001, 0.173734, 0.203012, 0.903362, -0.081291
1.368001, 0.156521, 0.184772, 0.904884, 0.343432
1.376001, 0.139261, 0.168665, 0.906286, -0.198127
1.384001, 0.121958, 0.153254, 0.907545, 0.018314
1.392001, 0.104618, 0.132976, 0.908731, -0.090648
1.400001, 0.087245, 0.120177, 0.909714, -0.189300
1.408001, 0.069847, 0.099253, 0.910601, 0.200472
1.416001, 0.052427, 0.084321, 0.911356, 0.376746
1.424001, 0.034991, 0.063492, 0.911896, 0.237792
1.432001, 0.017545, 0.042687, 0.912351, 0.180362
1.440001, 0.000093, 0.027707, 0.912674, 0.331618
1.448002, -0.017359, 0.014381, 0.912795, 0.452467
1.456002, -0.034806, 0.005249, 0.912771, -0.499659
1.464002, -0.052242, -0.049878, 0.912699, -0.573948
1.472002, -0.069662, -0.060160, 0.912327, -0.597710
1.480002, -0.087061, -0.071162, 0.911740, -0.784397
1.488002, -0.104433, -0.079000, 0.911176, -0.559234
1.496002, -0.121774, -0.094339, 0.910517, -0.644502
1.504002, -0.139077, -0.105197, 0.909678, -0.790966
1.512002, -0.156338, -0.124468, 0.908743, -0.551000
1.520002, -0.173552, -0.145272, 0.907724, -0.326471
1.528002, -0.190712, -0.155914, 0.906466, -0.559855
1.536002, -0.207815, -0.173459, 0.905196, -0.340702
1.544002, -0.224854, -0.191220, 0.903757, -0.248873
1.552002, -0.241825, -0.207494, 0.902115, -0.365726
1.560002, -0.258722, -0.227604, 0.900377, -0.177533
1.568002, -0.275540, -0.243183, 0.898435, -0.228557
1.576002, -0.292275, -0.261639, 0.896410, -0.320406
1.584002, -0.308920, -0.274318, 0.894240, 0.004691
1.592002, -0.325471, -0.294620, 0.891951, -0.290890
1.600002, -0.341923, -0.314082, 0.889518, -0.342467
1.608002, -0.358271, -0.332202, 0.886941, -0.216129
1.616002, -0.374510, -0.343755, 0.884232, -0.278124
1.624002, -0.390635, -0.360509, 0.881391, -0.299550
1.632002, -0.406641, -0.379660, 0.878466, -0.137983
1.640002, -0.422523, -0.397253, 0.875422, -0.047728
1.648002, -0.438276, -0.414150, 0.872198, 0.042397
1.656002, -0.453896, -0.432390, 0.868817, -0.208360
1.664002, -0.469377, -0.448018, 0.865282, -0.225241
1.672002, -0.484716, -0.458324, 0.861638, -0.282917
1.680002, -0.499906, -0.471267, 0.857922, -0.076188
1.688002, -0.514945, -0.491353, 0.854086, 0.023653
1.696002, -0.529827, -0.506381, 0.850166, 0.021669
1.704002, -0.544547, -0.523039, 0.846067, -0.335766
1.712002, -0.559102, -0.537372, 0.841800, -0.160192
1.720002, -0.573486, -0.553335, 0.837413, -0.106597
1.728002, -0.587695, -0.563426, 0.832893, -0.002034
1.736002, -0.601726, -0.578502, 0.828338, -0.070332
1.744002, -0.615573, -0.594561, 0.823663, -0.280964
1.752002, -0.629233, -0.604556, 0.818845, -0.211734
1.760002, -0.642701, -0.619368, 0.813917, -0.061052
1.768002, -0.655973, -0.636482, 0.808931, -0.032323
1.776002, -0.669046, -0.650983, 0.803788, -0.252757
1.784002, -0.681914, -0.657790, 0.798574, -0.264556
1.792002, -0.694575, -0.671979, 0.793275, 0.212055
1.800002, -0.707025, -0.687247, 0.787857, 0.032593
1.808002, -0.719259, -0.702059, 0.782283, -0.121329
1.816002, -0.731274, -0.709585, 0.776624, -0.081871
1.824002, -0.743066, -0.722001, 0.770810, -0.062671
1.832002, -0.754632, -0.737485, 0.764984, -0.089160
1.840002, -0.765968, -0.745083, 0.759074, -0.039232
1.848002, -0.777071, -0.756923, 0.753140, 0.412603
1.856002, -0.787937, -0.771784, 0.747086, 0.264343
1.864002, -0.798563, -0.789784, 0.740780, -0.168662
1.872002, -0.808946, -0.790815, 0.734390, 0.008805
1.880002, -0.819083, -0.796351, 0.728060, 0.211800
1.888002, -0.828970, -0.815622, 0.721622, -0.042886
1.896002, -0.838604, -0.822525, 0.715064, 0.068754
1.904002, -0.847983, -0.831393, 0.708411, 0.078754
1.912002, -0.857104, -0.842514, 0.701721, 0.043075
1.920002, -0.865964, -0.852653, 0.694995, 0.104146
1.928002, -0.874560, -0.861713, 0.688113, 0.282304
1.936002, -0.882889, -0.878060, 0.681255, 0.119753
1.944003, -0.890950, -0.878467, 0.674217, 0.003091
1.952003, -0.898739, -0.885466, 0.667131, 0.435853
1.960003, -0.906254, -0.898553, 0.659998, 0.121026
1.968003, -0.913494, -0.901693, 0.652792, 0.080937
1.976003, -0.920455, -0.908212, 0.645502, 0.325812
1.984003, -0.927136, -0.919166, 0.638188, 0.006178
1.992003, -0.933535, -0.922401, 0.630850, 0.134235
2.000003, -0.939649, -0.928825, 0.623452, 0.404826
2.008003, -0.945477, -0.942103, 0.615934, 0.116008
2.016002, -0.951016, -0.940042, 0.608488, 0.310487
2.024002, -0.956267, -0.949653, 0.600983, 0.413507
2.032002, -0.961226, -0.957132, 0.593321, 0.196180
2.040002, -0.965892, -0.958809, 0.585575, 0.487593
2.048002, -0.970264, -0.967917, 0.577888, 0.204329
2.056002, -0.974340, -0.964945, 0.570214, 0.246695
2.064002, -0.978120, -0.970290, 0.562468, 0.309496
2.072002, -0.981602, -0.984264, 0.554638, 0.224881
2.080002, -0.984784, -0.978535, 0.546796, 0.231921
2.088001, -0.987667, -0.984695, 0.539000, 0.559506
2.096001, -0.990249, -0.988267, 0.531074, 0.195408
2.104001, -0.992530, -0.991407, 0.523088, 0.309535
2.112001, -0.994508, -0.995241, 0.515149, 0.194863
2.120001, -0.996183, -0.991407, 0.507211, 0.309173
2.128001, -0.997554, -0.995241, 0.499368, 0.535464
2.136001, -0.998622, -1.007154, 0.491334, 0.319329
2.144001, -0.999386, -0.996368, 0.483299, 0.337251
2.152001, -0.999845, -1.003918, 0.475324, 0.523116
2.160001, -1.000000, -1.001162, 0.467265, 0.261459
2.168000, -0.999850, -1.001401, 0.459266, 0.518709
2.176000, -0.999396, -1.004829, 0.451303, 0.155487
2.184000, -0.998637, -1.002768, 0.443280, 0.616358
2.192000, -0.997574, -1.002073, 0.435268, 0.573755
2.200000, -0.996207, -1.000706, 0.427149, 0.200607
2.208000, -0.994537, -0.996608, 0.419257, 0.682059
2.216000, -0.992564, -1.003678, 0.411390, 0.426052
2.224000, -0.990288, -0.999196, 0.403451, 0.383777
2.232000, -0.987711, -0.993204, 0.395355, 0.377159
2.240000, -0.984833, -0.993875, 0.387428, 0.258730
2.247999, -0.981655, -0.988267, 0.379500, 0.415030
2.255999, -0.978178, -0.987811, 0.371608, 0.586669
2.263999, -0.974403, -0.983833, 0.363740, 0.264998
2.271999, -0.970331, -0.977001, 0.355968, 0.477470
2.279999, -0.965964, -0.984935, 0.348148, 0.293273
2.287999, -0.961302, -0.971153, 0.340244, 0.322764
2.295999, -0.956348, -0.963244, 0.332495, 0.479506
2.303999, -0.951102, -0.961973, 0.324747, 0.259892
2.311999, -0.945567, -0.956508, 0.317179, 0.767725
2.319999, -0.939744, -0.957132, 0.309587, 0.522807
2.327998, -0.933634, -0.946681, 0.301898, 0.267793
2.335998, -0.927240, -0.939826, 0.294377, 0.557095
2.343998, -0.920564, -0.937022, 0.286904, 0.500556
2.351998, -0.913607, -0.927890, 0.279420, 0.367799
2.359998, -0.906372, -0.917560, 0.271959, 0.301220
2.367998, -0.898861, -0.915067, 0.264654, 0.163468
