t, r, v, p, to
3.847979, 0.857295, 0.867298, 0.678270, -0.470693
3.855979, 0.848180, 0.866890, 0.685199, -0.343350
3.863979, 0.838806, 0.857543, 0.692045, -0.226209
3.871979, 0.829177, 0.844815, 0.698855, -0.444818
3.879978, 0.819295, 0.841580, 0.705617, -0.475267
3.887978, 0.809164, 0.829763, 0.712259, -0.261625
3.895978, 0.798786, 0.817515, 0.718877, -0.149717
3.903978, 0.788165, 0.810972, 0.725375, -0.358308
3.911978, 0.777304, 0.799443, 0.731825, -0.231229
3.919978, 0.766207, 0.784775, 0.738154, -0.348322
3.927978, 0.754875, 0.771448, 0.744436, -0.394236
3.935978, 0.743314, 0.764761, 0.750598, -0.145171
3.943978, 0.731527, 0.750931, 0.756616, -0.328471
3.951977, 0.719516, 0.740145, 0.762503, -0.542319
3.959977, 0.707287, 0.732883, 0.768424, -0.349284
3.967977, 0.694842, 0.718670, 0.774287, -0.202033
3.975977, 0.682185, 0.703114, 0.779945, -0.344745
3.983977, 0.669321, 0.691489, 0.785579, -0.380639
3.991977, 0.656253, 0.679721, 0.791022, -0.136824
3.999977, 0.642985, 0.665220, 0.796464, -0.305003
4.007977, 0.629521, 0.649736, 0.801679, -0.330796
4.015977, 0.615865, 0.640173, 0.806833, -0.509173
4.023977, 0.602022, 0.627422, 0.811904, -0.138237
4.031977, 0.587995, 0.614023, 0.816878, -0.240339
4.039977, 0.573789, 0.596095, 0.821709, -0.367901
4.047976, 0.559409, 0.584278, 0.826444, -0.551391
4.055976, 0.544858, 0.574212, 0.831143, -0.216093
4.063976, 0.530141, 0.558249, 0.835662, -0.033383
4.071976, 0.515263, 0.537204, 0.840061, -0.206717
4.079976, 0.500227, 0.522416, 0.844353, -0.283401
4.087976, 0.485040, 0.511366, 0.848428, -0.451663
4.095976, 0.469704, 0.500125, 0.852480, -0.070563
4.103976, 0.454226, 0.483683, 0.856375, -0.092152
4.111976, 0.438609, 0.462639, 0.860152, -0.167698
4.119976, 0.422859, 0.447562, 0.863807, -0.151620
4.127975, 0.406979, 0.428579, 0.867319, -0.262602
4.135975, 0.390976, 0.419184, 0.870771, -0.108995
4.143975, 0.374854, 0.404994, 0.874067, 0.075215
4.151975, 0.358617, 0.388217, 0.877208, 0.081500
4.159975, 0.342272, 0.371151, 0.880205, -0.135925
4.167975, 0.325822, 0.356195, 0.883105, -0.226066
4.175975, 0.309273, 0.336756, 0.885862, -0.575529
4.183975, 0.292629, 0.321632, 0.888511, -0.365369
4.191975, 0.275897, 0.307275, 0.891040, -0.053369
4.199975, 0.259080, 0.293685, 0.893449, 0.009507
4.207974, 0.242185, 0.271274, 0.895727, -0.080103
4.215974, 0.225215, 0.254568, 0.897836, 0.191556
4.223974, 0.208178, 0.237623, 0.899802, -0.080931
4.231974, 0.191076, 0.216650, 0.901648, 0.023114
4.239974, 0.173917, 0.203084, 0.903302, -0.162654
4.247974, 0.156704, 0.182375, 0.904908, 0.180697
4.255974, 0.139444, 0.168402, 0.906238, -0.193021
4.263974, 0.122142, 0.153877, 0.907533, 0.043774
4.271974, 0.104802, 0.132761, 0.908684, -0.060102
4.279974, 0.087430, 0.119243, 0.909690, -0.062123
4.287973, 0.070032, 0.100811, 0.910589, 0.083500
4.295973, 0.052612, 0.084368, 0.911320, 0.305561
4.303973, 0.035176, 0.064019, 0.911884, 0.227633
4.311973, 0.017730, 0.044868, 0.912315, 0.200721
4.319973, 0.000278, 0.028474, 0.912650, 0.285852
4.327973, -0.017174, 0.014381, 0.912795, 0.452479
4.335973, -0.034621, 0.005920, 0.912747, -0.493403
4.343973, -0.052057, -0.048416, 0.912699, -0.614648
4.351973, -0.069477, -0.058387, 0.912315, -0.526526
4.359972, -0.086876, -0.073750, 0.911788, -0.764065
4.367972, -0.104249, -0.077394, 0.911224, -0.574515
4.375972, -0.121590, -0.094196, 0.910553, -0.629252
4.383972, -0.138894, -0.105700, 0.909738, -0.735012
4.391972, -0.156155, -0.123797, 0.908779, -0.520497
4.399972, -0.173369, -0.141341, 0.907736, -0.234918
4.407972, -0.190531, -0.158455, 0.906502, -0.503915
4.415972, -0.207634, -0.173507, 0.905244, -0.279674
4.423972, -0.224674, -0.191627, 0.903733, -0.248869
4.431972, -0.241645, -0.207375, 0.902163, -0.238560
4.439971, -0.258543, -0.229449, 0.900377, -0.335214
4.447971, -0.275362, -0.241841, 0.898483, -0.157348
4.455971, -0.292098, -0.261423, 0.896482, -0.213589
4.463971, -0.308744, -0.275517, 0.894300, 0.070818
4.471971, -0.325296, -0.295770, 0.891999, -0.224760
4.479971, -0.341749, -0.316814, 0.889566, -0.352621
4.487971, -0.358098, -0.330956, 0.887001, -0.170351
4.495971, -0.374338, -0.343491, 0.884268, -0.288285
4.503971, -0.390464, -0.360677, 0.881463, -0.258845
4.511971, -0.406471, -0.377886, 0.878538, -0.204091
4.519970, -0.422355, -0.397708, 0.875458, -0.118931
4.527970, -0.438109, -0.413791, 0.872234, -0.013534
4.535970, -0.453730, -0.433972, 0.868853, -0.198167
4.543970, -0.469213, -0.447299, 0.865353, -0.179452
4.551970, -0.484553, -0.457725, 0.861698, -0.277808
4.559970, -0.499746, -0.474479, 0.857958, -0.167719
4.567970, -0.514786, -0.490418, 0.854146, 0.099965
4.575970, -0.529670, -0.505398, 0.850226, -0.054599
4.583970, -0.544392, -0.523039, 0.846079, -0.391704
4.591969, -0.558948, -0.537372, 0.841859, -0.129641
4.599969, -0.573334, -0.551274, 0.837437, -0.147256
4.607969, -0.587545, -0.563426, 0.832941, -0.185123
4.615969, -0.601578, -0.578718, 0.828398, -0.070322
4.623969, -0.615427, -0.594561, 0.823723, -0.230069
4.631969, -0.629089, -0.604723, 0.818904, -0.191368
4.639969, -0.642559, -0.619776, 0.813989, 0.167855
4.647969, -0.655833, -0.635379, 0.808955, 0.094855
4.655969, -0.668908, -0.651774, 0.803860, -0.201875
4.663969, -0.681779, -0.657646, 0.798622, -0.284884
4.671968, -0.694442, -0.671979, 0.793335, 0.206985
4.679968, -0.706894, -0.687511, 0.787941, 0.083474
4.687968, -0.719130, -0.701820, 0.782342, -0.080632
4.695968, -0.731148, -0.709346, 0.776672, -0.097115
4.703968, -0.742942, -0.721354, 0.770882, 0.049234
4.711968, -0.754511, -0.737221, 0.765020, -0.058617
4.719968, -0.765849, -0.743285, 0.759122, -0.044315
4.727968, -0.776954, -0.758961, 0.753247, 0.280369
4.735968, -0.787823, -0.770130, 0.747157, 0.330469
4.743968, -0.798452, -0.789257, 0.740876, -0.112700
4.751967, -0.808837, -0.791534, 0.734522, -0.108181
4.759967, -0.818976, -0.796927, 0.728120, 0.140600
4.767967, -0.828866, -0.812626, 0.721670, -0.047973
4.775967, -0.838503, -0.823220, 0.715148, 0.033148
4.783967, -0.847885, -0.833119, 0.708507, 0.038061
4.791967, -0.857008, -0.843953, 0.701781, 0.007477
4.799967, -0.865871, -0.851143, 0.695043, 0.088893
4.807967, -0.874470, -0.862480, 0.688221, 0.226339
4.815967, -0.882802, -0.876670, 0.681303, 0.109585
4.823967, -0.890866, -0.877461, 0.674289, -0.002000
4.831966, -0.898658, -0.886521, 0.667227, 0.334118
4.839966, -0.906176, -0.899392, 0.660082, 0.100672
4.847966, -0.913419, -0.901261, 0.652924, 0.136889
4.855966, -0.920383, -0.909051, 0.645646, 0.147768
4.863966, -0.927067, -0.918351, 0.638284, 0.011255
4.871966, -0.933468, -0.924367, 0.630910, 0.134234
4.879966, -0.939585, -0.926524, 0.623560, 0.496371
4.887966, -0.945416, -0.944117, 0.616054, 0.054949
4.895966, -0.950959, -0.938844, 0.608572, 0.213832
4.903965, -0.956212, -0.949701, 0.601078, 0.423665
4.911965, -0.961175, -0.956293, 0.593380, 0.099523
4.919965, -0.965844, -0.961110, 0.585635, 0.080664
4.927965, -0.970219, -0.965497, 0.577984, 0.214486
4.935965, -0.974299, -0.966647, 0.570238, 0.216160
4.943965, -0.978081, -0.972016, 0.562528, 0.518022
4.951965, -0.981566, -0.985822, 0.554734, 0.133307
4.959965, -0.984752, -0.978535, 0.546903, 0.120000
4.967965, -0.987638, -0.983161, 0.539073, 0.539129
4.975965, -0.990223, -0.988722, 0.531134, 0.220819
4.983964, -0.992507, -0.990280, 0.523172, 0.340031
4.991964, -0.994488, -0.994786, 0.515221, 0.215186
4.999964, -0.996167, -0.991407, 0.507343, 0.268447
5.007964, -0.997542, -0.995241, 0.499476, 0.403192
5.015964, -0.998613, -1.006698, 0.491430, 0.217575
5.023964, -0.999380, -0.997063, 0.483347, 0.413521
5.031964, -0.999842, -1.003007, 0.475444, 0.487484
5.039964, -1.000000, -1.002312, 0.467397, 0.276690
5.047964, -0.999853, -1.001881, 0.459362, 0.422028
5.055964, -0.999402, -1.004158, 0.451386, 0.150381
5.063963, -0.998647, -1.002312, 0.443375, 0.570539
5.071963, -0.997587, -1.002073, 0.435340, 0.639836
5.079963, -0.996223, -0.999100, 0.427329, 0.139537
5.087963, -0.994556, -0.996368, 0.419329, 0.509087
5.095963, -0.992586, -1.003942, 0.411498, 0.375154
5.103963, -0.990314, -0.997063, 0.403535, 0.276917
5.111963, -0.987740, -0.991622, 0.395475, 0.321172
5.119963, -0.984865, -0.994570, 0.387500, 0.151879
5.127963, -0.981690, -0.987380, 0.379548, 0.516720
5.135962, -0.978216, -0.990280, 0.371692, 0.520507
5.143962, -0.974444, -0.983377, 0.363848, 0.208997
5.151962, -0.970376, -0.976402, 0.356016, 0.523207
5.159962, -0.966012, -0.982275, 0.348292, 0.298318
5.167962, -0.961353, -0.973526, 0.340351, 0.404115
5.175962, -0.956402, -0.963244, 0.332543, 0.443848
5.183962, -0.951160, -0.960967, 0.324855, 0.229330
5.191962, -0.945627, -0.958186, 0.317263, 0.416708
5.199962, -0.939807, -0.954615, 0.309670, 0.593981
5.207962, -0.933700, -0.945938, 0.302054, 0.227056
5.215961, -0.927310, -0.939850, 0.294437, 0.460395
5.223961, -0.920636, -0.938005, 0.287000, 0.419136
5.231961, -0.913682, -0.927267, 0.279504, 0.245676
5.239961, -0.906450, -0.917656, 0.272127, 0.428321
5.247961, -0.898942, -0.915259, 0.264786, 0.214292
5.255961, -0.891160, -0.904761, 0.257049, 0.381788
5.263961, -0.883107, -0.894071, 0.249816, 0.615462
5.271961, -0.874784, -0.894502, 0.242667, 0.325290
5.279961, -0.866195, -0.880457, 0.235590, 0.294578
5.287961, -0.857342, -0.868137, 0.228596, 0.589428
5.295960, -0.848229, -0.867106, 0.221639, 0.253625
5.303960, -0.838856, -0.856248, 0.214741, 0.426505
5.311960, -0.829229, -0.843186, 0.207988, 0.380709
5.319960, -0.819348, -0.842011, 0.201234, 0.197620
5.327960, -0.809218, -0.824322, 0.194528, 0.487616
5.335960, -0.798842, -0.813513, 0.187942, 0.487714
5.343960, -0.788222, -0.812578, 0.181429, 0.228453
5.351960, -0.777363, -0.791150, 0.175035, 0.299835
5.359960, -0.766266, -0.784127, 0.168737, 0.432299
5.367959, -0.754936, -0.776865, 0.162583, 0.356245
5.375959, -0.743376, -0.765720, 0.156369, 0.254783
5.383959, -0.731590, -0.749541, 0.150275, 0.372079
5.391959, -0.719581, -0.739163, 0.144289, 0.423274
5.399959, -0.707352, -0.732164, 0.138458, 0.108279
5.407959, -0.694909, -0.714715, 0.132688, 0.556255
5.415959, -0.682253, -0.703857, 0.126990, 0.541397
5.423959, -0.669390, -0.697985, 0.121399, 0.231555
5.431959, -0.656323, -0.678187, 0.115941, 0.247250
5.439959, -0.643056, -0.664165, 0.110590, 0.252808
5.447958, -0.629593, -0.649521, 0.105360, 0.477077
5.455958, -0.615938, -0.643600, 0.100141, 0.131692
5.463958, -0.602096, -0.628069, 0.095018, 0.233924
5.471958, -0.588070, -0.612873, 0.090052, 0.214083
5.479958, -0.573865, -0.592044, 0.085241, 0.357039
5.487958, -0.559486, -0.587131, 0.080502, 0.225307
5.495958, -0.544936, -0.569921, 0.075895, 0.063085
5.503958, -0.530220, -0.553623, 0.071408, 0.348465
5.511958, -0.515342, -0.543772, 0.067053, 0.481248
5.519958, -0.500308, -0.529774, 0.062795, 0.359715
5.527957, -0.485121, -0.514147, 0.058644, 0.055064
5.535957, -0.469786, -0.495284, 0.054636, 0.086130
5.543957, -0.454308, -0.479177, 0.050689, 0.334137
5.551957, -0.438692, -0.460841, 0.046970, 0.567828
5.559957, -0.422942, -0.447251, 0.043323, 0.506345
5.567957, -0.407064, -0.437807, 0.039819, 0.398885
5.575957, -0.391061, -0.422563, 0.036376, 0.275982
5.583957, -0.374940, -0.403029, 0.033029, 0.259696
5.591957, -0.358704, -0.384909, 0.029850, 0.400875
5.599957, -0.342359, -0.369329, 0.026850, 0.272285
5.607956, -0.325909, -0.349963, 0.023983, 0.173991
5.615956, -0.309361, -0.339201, 0.021236, 0.126343
5.623956, -0.292718, -0.323286, 0.018656, 0.129337
5.631956, -0.275986, -0.308306, 0.016161, 0.228758
5.639956, -0.259170, -0.287261, 0.013749, -0.043368
5.647956, -0.242274, -0.272305, 0.011601, 0.060665
5.655956, -0.225306, -0.256126, 0.009466, 0.367919
5.663956, -0.208268, -0.239229, 0.007486, -0.037164
5.671956, -0.191167, -0.223697, 0.005638, 0.427285
5.679955, -0.174008, -0.203372, 0.003923, 0.072566
5.687955, -0.156796, -0.188008, 0.002363, 0.185560
5.695955, -0.139536, -0.171230, 0.000899, 0.054145
5.703955, -0.122234, -0.153086, -0.000467, 0.100512
5.711955, -0.104894, -0.137363, -0.001559, 0.039780
5.719955, -0.087522, -0.118835, -0.002639, -0.367053
5.727955, -0.070124, -0.099588, -0.003431, -0.209572
5.735955, -0.052705, -0.085207, -0.004223, -0.138828
5.743955, -0.035269, -0.061550, -0.004810, -0.205667
5.751955, -0.017822, -0.041705, -0.005254, -0.226987
5.759954, -0.000371, -0.026509, -0.005482, -0.462207
5.767954, 0.017081, -0.014381, -0.005650, -0.677351
5.775954, 0.034528, -0.005177, -0.005638, 0.117907
5.783954, 0.051964, 0.048176, -0.005482, 0.379519
5.791954, 0.069385, 0.063780, -0.005086, 0.604383
5.799954, 0.086784, 0.069915, -0.004486, 1.007284
5.807954, 0.104157, 0.079095, -0.003947, 0.733725
5.815954, 0.121498, 0.093381, -0.003215, 0.465283
5.823954, 0.138802, 0.108672, -0.002387, 0.491883
5.831954, 0.156064, 0.124755, -0.001451, 0.452380
5.839953, 0.173278, 0.141821, -0.000359, 0.784225
5.847953, 0.190440, 0.157928, 0.000863, 0.470092
5.855953, 0.207543, 0.175592, 0.002219, 0.679917
5.863953, 0.224583, 0.191675, 0.003731, 0.579466
5.871953, 0.241555, 0.210443, 0.005326, 0.570614
5.879953, 0.258454, 0.224848, 0.007114, 0.643148
5.887953, 0.275273, 0.242512, 0.009046, 0.441046
5.895953, 0.292009, 0.258547, 0.011014, 0.279645
5.903953, 0.308656, 0.274630, 0.013161, 0.250519
5.911952, 0.325208, 0.292247, 0.015441, -0.038018
5.919952, 0.341662, 0.311014, 0.017840, -0.041681
5.927952, 0.358012, 0.330021, 0.020360, 0.300532
5.935952, 0.374252, 0.346871, 0.023059, 0.307054
5.943952, 0.390379, 0.365518, 0.025903, 0.283054
5.951952, 0.406387, 0.379875, 0.028878, 0.320118
5.959952, 0.422271, 0.395599, 0.031961, 0.209669
5.967952, 0.438026, 0.408877, 0.035225, 0.206027
5.975952, 0.453648, 0.427069, 0.038632, 0.019292
5.983952, 0.469132, 0.444039, 0.042087, 0.229284
5.991951, 0.484472, 0.462039, 0.045722, 0.276515
5.999951, 0.499666, 0.475510, 0.049513, 0.186403
6.007951, 0.514707, 0.488189, 0.053317, 0.009812
6.015951, 0.529591, 0.501108, 0.057324, -0.105756
6.023951, 0.544314, 0.523087, 0.061343, 0.086686
6.031951, 0.558871, 0.539649, 0.065614, 0.378907
6.039951, 0.573258, 0.552281, 0.070029, 0.335344
6.047951, 0.587470, 0.565535, 0.074432, 0.032290
6.055951, 0.601504, 0.576848, 0.079014, 0.013970
6.063951, 0.615354, 0.595040, 0.083706, 0.015911
6.071950, 0.629017, 0.609230, 0.088528, 0.221222
6.079950, 0.642488, 0.617139, 0.093471, 0.121261
6.087950, 0.655763, 0.631472, 0.098522, -0.034739
6.095950, 0.668839, 0.650527, 0.103680, 0.032962
6.103950, 0.681711, 0.662943, 0.108935, 0.141275
6.111950, 0.694375, 0.671284, 0.114249, 0.020596
6.119950, 0.706828, 0.680440, 0.119624, -0.156125
6.127950, 0.719066, 0.701916, 0.125118, 0.018021
6.135950, 0.731084, 0.716728, 0.130817, 0.141219
6.143950, 0.742880, 0.723439, 0.136587, -0.086652
6.151949, 0.754450, 0.734585, 0.142369, -0.289167
6.159949, 0.765790, 0.753040, 0.148380, 0.067714
6.167949, 0.776896, 0.757834, 0.154413, 0.073534
6.175949, 0.787766, 0.767278, 0.160568, -0.108922
6.183949, 0.798396, 0.784127, 0.166758, -0.082936
6.191949, 0.808783, 0.794386, 0.173032, 0.034503
6.199949, 0.818923, 0.801552, 0.179402, -0.127901
6.207949, 0.828814, 0.813680, 0.185843, -0.280237
6.215949, 0.838453, 0.826552, 0.192477, 0.055648
6.223948, 0.847836, 0.833335, 0.199147, -0.208777
6.231948, 0.856961, 0.842658, 0.205888, -0.213891
6.239948, 0.865825, 0.852389, 0.212642, -0.005462
6.247948, 0.874425, 0.857902, 0.219467, 0.040103
6.255948, 0.882759, 0.867250, 0.226437, -0.367118
6.263948, 0.890823, 0.880457, 0.233394, -0.052168
6.271948, 0.898617, 0.885538, 0.240484, -0.154394
6.279948, 0.906137, 0.891482, 0.247573, -0.429657
6.287948, 0.913381, 0.904761, 0.254830, 0.042692
6.295948, 0.920346, 0.911400, 0.262087, -0.273464
6.303947, 0.927032, 0.918471, 0.269356, -0.253988
6.311947, 0.933435, 0.925973, 0.276780, -0.097282
6.319947, 0.939553, 0.929856, 0.284218, -0.154308
6.327947, 0.945386, 0.936734, 0.291690, -0.180898
6.335947, 0.950930, 0.942271, 0.299223, -0.146546
6.343947, 0.956185, 0.939802, 0.306780, -0.453088
6.351947, 0.961149, 0.959696, 0.314360, -0.134075
6.359947, 0.965820, 0.959409, 0.321953, -0.201736
6.367947, 0.970197, 0.965736, 0.329653, -0.422074
6.375947, 0.974278, 0.969523, 0.337413, -0.169482
6.383946, 0.978062, 0.971537, 0.345246, -0.181450
6.391946, 0.981549, 0.978200, 0.353113, -0.254562
6.399946, 0.984736, 0.981508, 0.360849, -0.139554
6.407946, 0.987624, 0.977385, 0.368657, -0.385788
6.415946, 0.990211, 0.992869, 0.376513, -0.174313
6.423946, 0.992496, 0.991718, 0.384453, -0.257958
6.431946, 0.994479, 0.992150, 0.392441, -0.514609
6.439946, 0.996158, 0.998549, 0.400452, -0.084692
6.447946, 0.997535, 0.993300, 0.408380, -0.382211
6.455945, 0.998608, 0.999724, 0.416308, -0.277993
6.463945, 0.999376, 1.002528, 0.424235, -0.219630
6.471945, 0.999840, 0.996943, 0.432222, -0.512330
6.479945, 1.000000, 1.005045, 0.440222, -0.220150
6.487945, 0.999855, 1.002959, 0.448317, -0.340070
6.495945, 0.999405, 1.004158, 0.456364, -0.419377
6.503945, 0.998651, 1.002768, 0.464339, -0.229173
6.511945, 0.997593, 0.998981, 0.472302, -0.323888
6.519945, 0.996231, 1.003846, 0.480361, -0.301704
6.527945, 0.994566, 0.996248, 0.488371, -0.325367
6.535944, 0.992597, 0.992150, 0.496382, -0.445751
6.543944, 0.990327, 1.000011, 0.504333, -0.179646
6.551944, 0.987754, 0.992150, 0.512175, -0.600266
6.559944, 0.984881, 0.994906, 0.520102, -0.374999
6.567944, 0.981708, 0.990664, 0.528136, -0.236260
6.575944, 0.978235, 0.983833, 0.536063, -0.540117
6.583944, 0.974465, 0.983401, 0.543929, -0.269288
6.591944, 0.970398, 0.976474, 0.551760, -0.349469
6.599944, 0.966036, 0.975348, 0.559554, -0.572146
6.607944, 0.961379, 0.977385, 0.567360, -0.215040
6.615943, 0.956429, 0.965808, 0.575046, -0.519234
6.623943, 0.951188, 0.965736, 0.582756, -0.365707
6.631943, 0.945657, 0.957251, 0.590514, -0.308878
6.639943, 0.939839, 0.949390, 0.598176, -0.516619
6.647943, 0.933734, 0.946466, 0.605719, -0.200514
6.655943, 0.927344, 0.937214, 0.613224, -0.388019
6.663943, 0.920672, 0.930551, 0.620695, -0.621356
6.671943, 0.913720, 0.929520, 0.628128, -0.168081
6.679943, 0.906489, 0.917728, 0.635490, -0.543955
6.687943, 0.898983, 0.917272, 0.642829, -0.436662
6.695942, 0.891202, 0.907565, 0.650178, -0.192098
6.703942, 0.883150, 0.894933, 0.657360, -0.232416
6.711942, 0.874829, 0.892992, 0.664506, -0.394848
6.719942, 0.866242, 0.883644, 0.671615, -0.272502
6.727942, 0.857390, 0.866075, 0.678653, -0.440121
6.735942, 0.848278, 0.866315, 0.685547, -0.297518
6.743942, 0.838907, 0.856896, 0.692453, -0.241413
6.751942, 0.829280, 0.843641, 0.699239, -0.470205
6.759942, 0.819401, 0.842443, 0.705953, -0.419271
6.767941, 0.809273, 0.829116, 0.712643, -0.231040
6.775941, 0.798898, 0.815670, 0.719201, -0.409077
6.783941, 0.788279, 0.811092, 0.725674, -0.337914
6.791941, 0.777421, 0.798700, 0.732077, -0.210824
6.799941, 0.766326, 0.785518, 0.738478, -0.277052
6.807941, 0.754997, 0.770417, 0.744772, -0.592556
6.815941, 0.743438, 0.766175, 0.750910, -0.180715
6.823941, 0.731653, 0.752106, 0.756916, -0.206346
6.831941, 0.719645, 0.738276, 0.762826, -0.608381
6.839941, 0.707418, 0.732499, 0.768712, -0.374653
6.847940, 0.694975, 0.719892, 0.774515, -0.161288
6.855940, 0.682321, 0.705271, 0.780292, -0.426074
6.863940, 0.669459, 0.692304, 0.785843, -0.487399
6.871940, 0.656393, 0.679721, 0.791369, -0.167288
6.879940, 0.643127, 0.665651, 0.796716, -0.279516
6.887940, 0.629665, 0.648873, 0.801978, -0.239174
6.895940, 0.616011, 0.638974, 0.807085, -0.346351
6.903940, 0.602170, 0.628932, 0.812168, -0.082230
6.911940, 0.588145, 0.614095, 0.817190, -0.148725
6.919940, 0.573941, 0.597341, 0.821961, -0.357669
6.927939, 0.559562, 0.584230, 0.826672, -0.607282
6.935939, 0.545013, 0.574715, 0.831335, -0.231293
6.943939, 0.530298, 0.557338, 0.835866, -0.028237
6.951939, 0.515421, 0.537468, 0.840301, -0.221915
6.959939, 0.500388, 0.522727, 0.844544, -0.318955
6.967939, 0.485202, 0.510647, 0.848608, -0.370219
6.975939, 0.469868, 0.500653, 0.852648, -0.085771
6.983939, 0.454391, 0.482652, 0.856603, -0.198916
6.991939, 0.438775, 0.461656, 0.860319, -0.208349
6.999938, 0.423026, 0.447610, 0.863975, -0.258385
7.007938, 0.407149, 0.431743, 0.867475, -0.349021
7.015938, 0.391147, 0.417985, 0.870951, -0.139475
7.023938, 0.375026, 0.405186, 0.874211, -0.006129
7.031938, 0.358790, 0.388840, 0.877351, 0.076451
7.039938, 0.342446, 0.373044, 0.880360, -0.074840
7.047938, 0.325997, 0.356147, 0.883225, -0.205684
7.055938, 0.309449, 0.336469, 0.886006, -0.356777
7.063938, 0.292806, 0.324125, 0.888619, -0.395852
7.071938, 0.276075, 0.306029, 0.891172, -0.017730
7.079937, 0.259259, 0.293685, 0.893569, 0.009541
7.087937, 0.242364, 0.270963, 0.895810, -0.120761
7.095937, 0.225396, 0.255575, 0.897920, 0.237367
7.103937, 0.208359, 0.238653, 0.899898, -0.080899
7.111937, 0.191258, 0.215524, 0.901695, 0.048567
7.119937, 0.174099, 0.203372, 0.903386, -0.157537
7.127937, 0.156887, 0.184844, 0.904980, 0.124776
7.135937, 0.139628, 0.167827, 0.906322, -0.172647
7.143937, 0.122326, 0.152607, 0.907617, 0.099743
7.151937, 0.104986, 0.133935, 0.908731, -0.141467
7.159936, 0.087615, 0.120129, 0.909774, -0.173998
7.167936, 0.070217, 0.100547, 0.910625, 0.210686
7.175936, 0.052797, 0.084177, 0.911332, 0.280133
7.183936, 0.035361, 0.062294, 0.911932, 0.258175
7.191936, 0.017915, 0.045132, 0.912339, 0.221090
7.199936, 0.000463, 0.027995, 0.912638, 0.321459
7.207936, -0.016989, 0.014381, 0.912783, 0.457586
7.215936, -0.034435, 0.005153, 0.912795, -0.461600
7.223936, -0.051872, -0.050309, 0.912650, -0.518034
7.231936, -0.069292, -0.057811, 0.912279, -0.643530
7.239935, -0.086692, -0.071785, 0.911740, -0.804770
7.247935, -0.104065, -0.078880, 0.911164, -0.594872
7.255935, -0.121406, -0.091990, 0.910481, -0.629261
7.263935, -0.138710, -0.104909, 0.909678, -0.770634
7.271935, -0.155972, -0.123581, 0.908707, -0.510329
7.279935, -0.173187, -0.140574, 0.907641, -0.351919
7.287935, -0.190349, -0.158575, 0.906490, -0.503916
7.295935, -0.207452, -0.173004, 0.905112, -0.218635
7.303935, -0.224493, -0.191987, 0.903709, -0.238703
7.311934, -0.241465, -0.206895, 0.902031, -0.284342
7.319934, -0.258364, -0.228994, 0.900305, -0.182624
7.327934, -0.275184, -0.242584, 0.898375, 0.046118
7.335934, -0.291920, -0.261136, 0.896326, -0.157637
7.343934, -0.308568, -0.275828, 0.894216, -0.173325
7.351934, -0.325121, -0.295770, 0.891915, -0.316310
7.359934, -0.341575, -0.316024, 0.889434, -0.342441
7.367934, -0.357925, -0.332825, 0.886833, -0.272060
7.375934, -0.374167, -0.344282, 0.884100, -0.339148
7.383934, -0.390294, -0.359574, 0.881319, -0.269005
7.391933, -0.406302, -0.379875, 0.878371, -0.321063
7.399933, -0.422187, -0.396534, 0.875278, -0.113828
7.407933, -0.437943, -0.412137, 0.872078, -0.003353
7.415933, -0.453565, -0.433685, 0.868673, -0.208319
7.423933, -0.469050, -0.447251, 0.865126, -0.199775
7.431933, -0.484391, -0.457270, 0.861494, -0.257449
7.439933, -0.499585, -0.472945, 0.857778, -0.030361
7.447933, -0.514627, -0.489795, 0.853990, -0.118734
7.455933, -0.529512, -0.508586, 0.849963, 0.006454
7.463933, -0.544236, -0.522344, 0.845839, -0.300116
7.471932, -0.558794, -0.536581, 0.841596, -0.165223
7.479932, -0.573182, -0.551442, 0.837245, -0.243877
7.487932, -0.587395, -0.564361, 0.832737, -0.413991
7.495932, -0.601430, -0.578478, 0.828134, -0.055031
7.503932, -0.615281, -0.595592, 0.823460, -0.199530
7.511932, -0.628945, -0.604196, 0.818629, -0.221867
7.519932, -0.642417, -0.617738, 0.813750, 0.249267
7.527932, -0.655693, -0.635044, 0.808727, 0.145728
7.535932, -0.668770, -0.652181, 0.803549, -0.217116
7.543931, -0.681643, -0.658005, 0.798346, -0.259434
7.551931, -0.694309, -0.671284, 0.793047, 0.151042
7.559931, -0.706763, -0.686696, 0.787629, 0.108923
7.567931, -0.719001, -0.703330, 0.782079, -0.172161
7.575931, -0.731021, -0.709801, 0.776349, -0.076764
7.583931, -0.742818, -0.723104, 0.770558, 0.033989
7.591931, -0.754389, -0.734920, 0.764732, -0.002663
7.599931, -0.765730, -0.743812, 0.758858, -0.069734
7.607931, -0.776838, -0.758553, 0.752888, 0.132865
7.615931, -0.787709, -0.770465, 0.746810, 0.320308
7.623930, -0.798340, -0.788969, 0.740504, -0.133034
7.631930, -0.808728, -0.788969, 0.734139, -0.036960
7.639930, -0.818870, -0.797909, 0.727784, 0.181282
7.647930, -0.828762, -0.815167, 0.721334, -0.027618
7.655930, -0.838402, -0.823268, 0.714788, 0.038233
7.663930, -0.847787, -0.831777, 0.708159, 0.144883
7.671930, -0.856913, -0.843641, 0.701493, 0.012560
7.679930, -0.865778, -0.852653, 0.694731, 0.038025
7.687930, -0.874380, -0.863894, 0.687873, 0.205989
7.695930, -0.882715, -0.876334, 0.680932, 0.170617
